Id,Credit_card,Country,City,Phone
1,diners-club-enroute,Poland,Góra,+48 (862) 742-7494
2,jcb,Macedonia,Kisela Voda,+389 (938) 316-4178
3,jcb,China,Xinfeng,+86 (834) 744-8089
4,switch,China,Lukou,+86 (532) 393-3260
5,jcb,Indonesia,Jembayan Hitam,+62 (467) 648-0140
6,mastercard,Panama,San Miguelito,+507 (439) 204-1311
7,maestro,China,Tuzhai,+86 (800) 726-2432
8,jcb,Mexico,San Sebastian,+52 (507) 437-2031
9,diners-club-us-ca,China,Hualingang,+86 (396) 479-5394
10,maestro,China,Taiyanghe,+86 (910) 614-2837
11,jcb,France,Orly aérogare,+33 (870) 547-4290
12,jcb,Indonesia,Kalibunder,+62 (621) 252-1078
13,visa,Finland,Taivalkoski,+358 (150) 254-7783
14,mastercard,Costa Rica,Ciudad Cortés,+506 (625) 462-9187
15,jcb,Indonesia,Hokor,+62 (338) 500-4784
16,jcb,Indonesia,Kediren,+62 (849) 843-7129
17,jcb,France,Nîmes,+33 (160) 944-1066
18,china-unionpay,Democratic Republic of the Congo,Bukama,+242 (994) 279-0592
19,bankcard,Indonesia,Datartua,+62 (639) 792-3558
20,jcb,Myanmar,Letpandan,+95 (256) 974-3979
21,visa-electron,Iraq,Kufa,+964 (289) 477-9762
22,jcb,Portugal,A dos Cunhados,+351 (156) 137-3497
23,visa-electron,China,Xinfeng,+86 (189) 230-1231
24,jcb,Pakistan,Mirpur Khas,+92 (153) 813-4464
25,diners-club-us-ca,United States,Memphis,+1 (901) 235-2826
26,diners-club-carte-blanche,Philippines,Reina Mercedes,+63 (757) 560-4964
27,americanexpress,Brazil,Embu Guaçu,+55 (784) 714-0383
28,jcb,United States,Garden Grove,+1 (714) 964-3620
29,diners-club-carte-blanche,Indonesia,Mekarsari,+62 (328) 237-3869
30,diners-club-enroute,Indonesia,Prigi,+62 (574) 178-2338
31,bankcard,Afghanistan,Charikar,+93 (202) 301-9917
32,americanexpress,Portugal,Boco,+351 (249) 358-5915
33,switch,France,Cosne-Cours-sur-Loire,+33 (239) 505-8621
34,maestro,Philippines,Atipuluhan,+63 (345) 638-5036
35,diners-club-enroute,Finland,Alavus,+358 (102) 143-6410
36,china-unionpay,Portugal,São Torcato,+351 (446) 862-8094
37,maestro,Japan,Sakura,+81 (899) 289-0753
38,jcb,Brazil,Cotia,+55 (544) 177-4334
39,visa,Japan,Kure,+81 (672) 708-2120
40,maestro,Liberia,Kakata,+231 (858) 929-7411
41,bankcard,Poland,Nielisz,+48 (327) 434-9514
42,jcb,Brazil,Três Passos,+55 (517) 337-5603
43,diners-club-carte-blanche,Portugal,Praia da Vitória,+351 (413) 898-3224
44,jcb,China,Tahe,+86 (666) 690-4293
45,jcb,Czech Republic,Cheb,+420 (860) 232-1553
46,jcb,Philippines,Bautista,+63 (792) 490-0160
47,jcb,China,Sanjinquan,+86 (863) 151-5709
48,maestro,Dominican Republic,Comendador,+1 (495) 138-1267
49,americanexpress,Ukraine,Zalesnoye,+380 (443) 176-2058
50,jcb,United States,Charlotte,+1 (704) 847-1668
51,visa-electron,Slovenia,Mengeš,+386 (424) 234-4991
52,jcb,Costa Rica,San Rafael Arriba,+506 (220) 559-9103
53,mastercard,Bangladesh,Bera,+880 (308) 255-2804
54,china-unionpay,Spain,Malaga,+34 (980) 696-7837
55,diners-club-enroute,Russia,Bokino,+7 (768) 968-6065
56,diners-club-carte-blanche,Germany,Düsseldorf,+49 (639) 560-3689
57,americanexpress,China,Meixi,+86 (847) 116-1248
58,diners-club-enroute,Russia,Starokorsunskaya,+7 (187) 599-3414
59,jcb,Indonesia,Wunat,+62 (123) 216-9413
60,bankcard,United States,Tampa,+1 (813) 819-8403
61,jcb,China,Duishan,+86 (559) 939-6201
62,diners-club-carte-blanche,Panama,Guararé,+507 (622) 700-8974
63,diners-club-carte-blanche,China,Yinjiang,+86 (125) 516-2939
64,bankcard,Colombia,Buesaco,+57 (277) 504-8264
65,visa,Palestinian Territory,Farkhah,+970 (782) 318-0533
66,laser,Indonesia,Cidolog,+62 (169) 103-5558
67,jcb,China,Choushui,+86 (465) 320-3694
68,solo,Pakistan,Hadāli,+92 (718) 774-2434
69,jcb,Philippines,Maluanluan,+63 (963) 830-9965
70,jcb,Ukraine,Baturyn,+380 (402) 576-5008
71,china-unionpay,China,Xiaolong,+86 (619) 509-0450
72,diners-club-carte-blanche,Philippines,Cavinti,+63 (849) 139-8851
73,switch,China,Huangwei,+86 (178) 153-8590
74,solo,Ireland,Templeogue,+353 (279) 533-0381
75,jcb,Portugal,Mirandela,+351 (384) 649-0938
76,jcb,China,Qifang,+86 (838) 435-8276
77,jcb,Honduras,Quebradas,+504 (715) 895-2087
78,jcb,China,Gaoqiao,+86 (679) 717-1848
79,maestro,France,Lille,+33 (429) 708-2465
80,jcb,Yemen,Al Maḩfid,+967 (648) 107-8507
81,diners-club-carte-blanche,China,Baizhu,+86 (262) 951-2002
82,jcb,Vietnam,Trà My,+84 (179) 492-4977
83,mastercard,Russia,Gavrilov-Yam,+7 (834) 810-8425
84,mastercard,Indonesia,Sambungjaya,+62 (848) 470-0280
85,diners-club-carte-blanche,Norway,Trondheim,+47 (303) 227-9729
86,switch,China,Shuanghejiedao,+86 (490) 325-2544
87,jcb,Japan,Tochigi,+81 (900) 620-8207
88,jcb,China,Jianggang,+86 (756) 861-2374
89,jcb,Indonesia,Tamansari,+62 (898) 243-6344
90,jcb,Poland,Dukla,+48 (142) 133-0055
91,mastercard,Ethiopia,Wendo,+251 (755) 502-8800
92,diners-club-carte-blanche,Poland,Kaczory,+48 (222) 297-2465
93,mastercard,Indonesia,Gegernoong,+62 (274) 407-3720
94,diners-club-us-ca,North Korea,Chunghwa,+850 (894) 401-2750
95,jcb,Thailand,Wan Yai,+66 (402) 875-3979
96,jcb,Belarus,Druzhny,+375 (734) 488-3317
97,maestro,Argentina,Pirané,+54 (681) 449-8908
98,bankcard,Peru,Tibillo,+51 (816) 160-6881
99,visa-electron,China,Fu’an,+86 (673) 310-4171
100,laser,Nigeria,Otan Aiyegbaju,+234 (115) 971-9918
101,mastercard,Thailand,Nakhon Nayok,+66 (504) 777-6245
102,jcb,United States,Des Moines,+1 (515) 683-7902
103,switch,Haiti,Gros Morne,+509 (920) 532-5784
104,jcb,Niger,Tillabéri,+227 (797) 572-0837
105,laser,France,Caen,+33 (306) 751-3557
106,instapayment,Indonesia,Rancaseneng,+62 (721) 394-9625
107,china-unionpay,Indonesia,Tambaksari,+62 (763) 881-6780
108,maestro,Dominican Republic,La Romana,+1 (307) 437-9757
109,jcb,United States,Knoxville,+1 (865) 178-7053
110,jcb,Canada,Peterborough,+1 (296) 324-4135
111,mastercard,Poland,Prusice,+48 (606) 432-1215
112,jcb,China,Lianhe,+86 (718) 108-9748
113,jcb,Malaysia,Tawau,+60 (976) 790-7940
114,jcb,China,Tangjiapo,+86 (952) 995-4845
115,visa,Indonesia,Karang Tengah,+62 (470) 525-4705
116,mastercard,Ivory Coast,Agboville,+225 (395) 163-2140
117,americanexpress,Syria,Ash Shaddādah,+963 (585) 323-6515
118,jcb,Ireland,Balally,+353 (276) 894-6588
119,americanexpress,China,Qingfenglin,+86 (759) 803-0487
120,jcb,Russia,Makarov,+7 (121) 577-2589
121,maestro,Italy,Bergamo,+39 (898) 157-4948
122,jcb,Bosnia and Herzegovina,Gornje Živinice,+387 (580) 220-8718
123,jcb,United States,Louisville,+1 (502) 949-7446
124,jcb,China,Guojiazhuang,+86 (353) 966-7775
125,switch,South Africa,Ventersdorp,+27 (337) 272-0659
126,jcb,Kenya,Isiolo,+254 (419) 739-1497
127,maestro,United States,Akron,+1 (330) 944-5041
128,maestro,Indonesia,Pandan,+62 (768) 158-1864
129,diners-club-enroute,Sweden,Saltsjöbaden,+46 (109) 515-6350
130,jcb,Democratic Republic of the Congo,Inongo,+242 (626) 918-4066
131,jcb,South Africa,Boshof,+27 (969) 387-7833
132,diners-club-carte-blanche,Dominican Republic,Esperalvillo,+1 (422) 292-7270
133,jcb,Ethiopia,Leku,+251 (565) 532-3225
134,jcb,Brazil,Gravataí,+55 (732) 267-5536
135,jcb,Portugal,Monte da Boavista,+351 (639) 684-7996
136,mastercard,Argentina,Elena,+54 (573) 174-7077
137,jcb,Poland,Błędów,+48 (925) 416-0570
138,diners-club-enroute,Peru,Perené,+51 (656) 509-3663
139,jcb,Brazil,Frederico Westphalen,+55 (558) 251-1031
140,visa-electron,China,Dongli,+86 (269) 223-1915
141,mastercard,China,Changliang,+86 (232) 866-6109
142,jcb,Malawi,Mulanje,+265 (651) 624-0577
143,maestro,Peru,Huayllabamba,+51 (899) 620-7365
144,visa-electron,China,Liubo,+86 (578) 212-8017
145,bankcard,Comoros,Moutsamoudou,+269 (435) 670-3057
146,jcb,Philippines,Bunog,+63 (384) 495-3969
147,mastercard,Serbia,Sremska Mitrovica,+381 (210) 551-0650
148,maestro,China,Mingshui,+86 (112) 380-6999
149,visa-electron,China,Anfu,+86 (816) 191-6190
150,mastercard,Tunisia,Banī Khallād,+216 (953) 836-2361
151,switch,Indonesia,Pamoyanan,+62 (342) 875-8218
152,jcb,Colombia,Acacías,+57 (717) 939-2028
153,china-unionpay,Portugal,Seiça,+351 (432) 778-0231
154,visa-electron,French Polynesia,Fare,+689 (139) 104-5279
155,jcb,Ukraine,Lyubotyn,+380 (642) 712-1528
156,jcb,Kazakhstan,Zhabagly,+7 (717) 235-3136
157,jcb,China,Huayuan,+86 (501) 159-0284
158,jcb,Ghana,Medina Estates,+233 (411) 691-0996
159,jcb,American Samoa,Tāfuna,+1 (471) 186-4684
160,diners-club-enroute,China,Donggong,+86 (481) 760-6258
161,jcb,Russia,Ufimskiy,+7 (905) 425-0319
162,jcb,Thailand,Ongkharak,+66 (946) 773-9750
163,jcb,China,Gucheng,+86 (525) 374-2944
164,jcb,Netherlands,Arnhem,+31 (706) 938-6265
165,americanexpress,Indonesia,Puncakmanis,+62 (554) 170-3535
166,china-unionpay,Brazil,Santo Estêvão,+55 (302) 272-2159
167,instapayment,South Africa,Marquard,+27 (800) 911-0256
168,mastercard,Chad,Oum Hadjer,+235 (551) 709-6191
169,jcb,Japan,Masuda,+81 (677) 979-9724
170,americanexpress,Poland,Radziszów,+48 (917) 357-1978
171,switch,China,Deqing,+86 (898) 354-3799
172,jcb,China,Ningxin,+86 (633) 490-4677
173,jcb,Mexico,Emiliano Zapata,+52 (238) 443-6291
174,mastercard,Russia,Chadan,+7 (151) 214-8817
175,jcb,Czech Republic,Světlá nad Sázavou,+420 (234) 667-9166
176,diners-club-us-ca,China,Tanbu,+86 (867) 823-3163
